iter	Passed	Remaining
0	1	157
1	3	153
2	4	147
3	5	139
4	7	139
5	9	144
6	11	153
7	13	150
8	14	149
9	16	146
10	17	143
11	19	140
12	20	137
13	21	134
14	23	132
15	24	130
16	26	129
17	28	128
18	29	125
19	30	123
20	32	122
21	34	122
22	36	120
23	37	120
24	39	118
25	41	117
26	42	115
27	44	113
28	45	111
29	47	109
30	48	108
31	50	106
32	51	104
33	52	102
34	54	101
35	55	99
36	57	97
37	58	95
38	60	94
39	62	93
40	63	91
41	64	88
42	65	87
43	67	85
44	68	83
45	70	82
46	71	80
47	72	78
48	74	77
49	75	75
50	77	74
51	78	72
52	80	70
53	81	69
54	82	67
55	83	65
56	85	64
57	87	63
58	89	62
59	90	60
60	92	59
61	93	57
62	95	56
63	96	54
64	98	52
65	99	51
66	101	49
67	102	48
68	104	46
69	105	45
70	106	43
71	108	42
72	109	40
73	111	39
74	112	37
75	114	36
76	116	34
77	118	33
78	119	31
79	121	30
80	122	28
81	124	27
82	126	25
83	128	24
84	129	22
85	130	21
86	132	19
87	133	18
88	135	16
89	137	15
90	138	13
91	140	12
92	142	10
93	143	9
94	144	7
95	146	6
96	147	4
97	148	3
98	150	1
99	152	0
